step,event_type,amount,origin_account,origin_balance_before,origin_balance_after,dest_account,dest_balance_before,dest_balance_after,is_fraud_label
211,installment_repayment,5930.08,C1785628605,43554.0,37623.92,M897969393,0.0,0.0,False
180,account_funding,225689.54,C2028084760,5201364.48,5427054.02,C1386958737,505827.17,172385.23,False
260,loan_disbursement,93324.98,C1858644269,4424.0,0.0,C1606737762,38140.31,131465.29,False
43,account_funding,139320.67,C93906507,3323953.76,3463274.44,C847264665,1945076.02,1805755.35,False
395,loan_disbursement,1106070.69,C2051418797,20414.0,0.0,C1305341921,24563.82,1130634.51,False
162,loan_disbursement,355753.59,C1082715328,0.0,0.0,C668288240,959083.62,1314837.21,False
161,loan_disbursement,121216.21,C1963726693,0.0,0.0,C565178956,396774.5,517990.71,False
134,loan_disbursement,75591.65,C2080353036,0.0,0.0,C763636587,2439165.53,2412965.08,False
143,loan_disbursement,353134.44,C1554719653,0.0,0.0,C2025292732,2398303.12,2751437.56,False
264,installment_repayment,2101.2,C1656870253,6038.0,3936.8,M1317772253,0.0,0.0,False
135,installment_repayment,8536.11,C635689931,0.0,0.0,M1214526574,0.0,0.0,False
256,loan_disbursement,51386.09,C1553370846,55288.0,3901.91,C958806146,3357417.12,3408803.21,False
135,loan_disbursement,374364.99,C2019162396,107314.0,0.0,C2006476360,0.0,374364.99,False
589,loan_disbursement,5858.56,C1035285353,0.0,0.0,C265852946,24473.99,30332.55,False
302,loan_disbursement,464227.5,C1255921006,55797.0,0.0,C1296308838,10521923.44,10986150.94,False
287,loan_disbursement,436380.52,C179850538,0.0,0.0,C4117397,981729.03,1418109.55,False
202,loan_disbursement,50878.98,C581656174,0.0,0.0,C2084362110,414591.79,465470.77,False
373,installment_repayment,9507.36,C944309414,49798.0,40290.64,M1925639213,0.0,0.0,False
14,installment_repayment,13622.89,C1075216703,1781.0,0.0,M1242015995,0.0,0.0,False
588,installment_repayment,3041.82,C1208345322,0.0,0.0,M223075360,0.0,0.0,False
371,account_funding,27396.11,C1903311631,6145035.08,6172431.19,C695351885,227139.98,199743.87,False
371,account_funding,435923.41,C937323125,3030979.96,3466903.37,C1053621061,1130972.05,695048.63,False
282,account_funding,74536.63,C693171013,3393994.04,3468530.67,C63076530,666946.27,592409.64,False
402,loan_disbursement,103963.64,C81439819,0.0,0.0,C1017685467,3451217.66,3391289.5,False
538,installment_repayment,12247.21,C1494824888,51577.0,39329.79,M866766096,0.0,0.0,False
283,installment_repayment,9726.35,C943527823,10994.0,1267.65,M996219142,0.0,0.0,False
348,installment_repayment,9927.8,C1665386919,92617.0,82689.2,M493555604,0.0,0.0,False
